threshold,coverage,accuracy,f1
0.5,1.0,0.892,0.926829268292683
0.5125641025641026,0.992,0.8911290322580645,0.9264305177111717
0.5251282051282051,0.98,0.8938775510204081,0.9289617486338798
0.5376923076923077,0.968,0.9008264462809917,0.9337016574585635
0.5502564102564103,0.952,0.907563025210084,0.9385474860335196
0.5628205128205128,0.952,0.907563025210084,0.9385474860335196
0.5753846153846154,0.94,0.9148936170212766,0.9438202247191011
0.587948717948718,0.94,0.9148936170212766,0.9438202247191011
0.6005128205128205,0.936,0.9145299145299145,0.9438202247191011
0.6130769230769231,0.92,0.9173913043478261,0.9458689458689459
0.6256410256410256,0.912,0.9166666666666666,0.9455587392550143
0.6382051282051282,0.9,0.92,0.9479768786127167
0.6507692307692308,0.888,0.918918918918919,0.9476744186046512
0.6633333333333333,0.876,0.9178082191780822,0.9470588235294117
0.6758974358974359,0.872,0.9174311926605505,0.9470588235294117
0.6884615384615385,0.856,0.9205607476635514,0.9495548961424333
0.701025641025641,0.836,0.9330143540669856,0.9575757575757575
0.7135897435897436,0.832,0.9326923076923077,0.9573170731707317
0.7261538461538461,0.828,0.9323671497584541,0.9570552147239264
0.7387179487179487,0.816,0.9362745098039216,0.9595015576323987
0.7512820512820513,0.8,0.94,0.9620253164556962
0.7638461538461538,0.78,0.9487179487179487,0.967741935483871
0.7764102564102564,0.772,0.9533678756476683,0.970873786407767
0.788974358974359,0.76,0.9578947368421052,0.9738562091503268
0.8015384615384615,0.752,0.9574468085106383,0.9735099337748344
0.8141025641025641,0.74,0.9621621621621622,0.9765886287625418
0.8266666666666667,0.732,0.9617486338797814,0.9765886287625418
0.8392307692307692,0.724,0.9613259668508287,0.976271186440678
0.8517948717948718,0.696,0.9770114942528736,0.9859154929577465
0.8643589743589744,0.684,0.9766081871345029,0.9859154929577465
0.8769230769230769,0.676,0.9763313609467456,0.9858156028368794
0.8894871794871795,0.652,0.9815950920245399,0.988929889298893
0.902051282051282,0.636,0.9937106918238994,0.9962264150943396
0.9146153846153846,0.616,0.9935064935064936,0.9961089494163424
0.9271794871794872,0.6,1.0,1.0
0.9397435897435897,0.588,1.0,1.0
0.9523076923076923,0.548,1.0,1.0
0.9648717948717949,0.492,1.0,1.0
0.9774358974358974,0.436,1.0,1.0
0.99,0.336,1.0,1.0
